source,target,rho,abs_rho,sign,source_community,target_community,source_label,target_label
P4_9,P4_14,0.4213798697218997,0.4213798697218997,1,3,3,P4_9 Destaque de Perú en Educación,P4_14 Destaque de Perú en Vivienda
P4_2,P4_14,0.4177298651388508,0.4177298651388508,1,3,3,P4_2 Destaque de Perú en Desarrollo de la industria,P4_14 Destaque de Perú en Vivienda
P4_11,P4_13,0.4161753788080068,0.4161753788080068,1,3,3,P4_11 Destaque de Perú en Medioambiente,P4_13 Destaque de Perú en Obras públicas
P4_6,P4_14,0.415781864681882,0.415781864681882,1,3,3,P4_6 Destaque de Perú en Desarrollo de tecnologías,P4_14 Destaque de Perú en Vivienda
P37_1,P37_7,0.4151138126914536,0.4151138126914536,1,2,2,P37_1 Nivel de acuerdo con que la IA Resolverá complejos problemas sociales,P37_7 Nivel de acuerdo con que la IA Ayudará a crear más empleos
P3_1,P3_7,0.41506126559283124,0.41506126559283124,1,5,5,P3_1 Aprecio por la profesión de Artista,P3_7 Aprecio por la profesión de Deportista
P6_1,P3_7,0.41467220838257285,0.41467220838257285,1,1,5,P6_1 Nivel de interés en Deportes,P3_7 Aprecio por la profesión de Deportista
P4_5,P4_8,0.414068003459407,0.414068003459407,1,3,3,P4_5 Destaque de Perú en Salud,P4_8 Destaque de Perú en Investigación científica
P1_2,P1_3,0.41387869084987666,0.41387869084987666,1,8,8,P1_2 Nivel de satisfacción con la situación económica del país,P1_3 Nivel de satisfacción con la situación ambiental del país
P9_1,P9_4,0.4132012409287016,0.4132012409287016,1,1,1,"P9_1 Mira programas o documentales de TV sobre ciencia, tecnología o naturaleza",P9_4 Lee revistas de divulgación científica
P37_5,P37_9,0.41256292814320966,0.41256292814320966,1,4,4,P37_5 Nivel de acuerdo con que la IA Generará muchos más daños que beneficios,P37_9 Nivel de acuerdo con que la IA Aumentará el dominio de las máquinas sobre las personas
P5_3,P5_4,0.4123339030200605,0.4123339030200605,1,7,7,P5_3 Visitó un zoológico o acuario en el último año,P5_4 Visitó un parque nacional o reserva natural en el último año
P4_5,P4_11,0.4122237815499284,0.4122237815499284,1,3,3,P4_5 Destaque de Perú en Salud,P4_11 Destaque de Perú en Medioambiente
